ImpactID,MealID,ConditionType,Notes,Score
1,1,Fatty Liver,"Low-fat, high-fiber breakfast with minimal added sugar; supports liver health.",8
2,1,High Cholesterol,Low in saturated fat and cholesterol; beneficial for cholesterol management.,9
3,1,High Blood Pressure,Low sodium and high potassium from blueberries; positive for blood pressure.,9
4,1,Gout,Low-purine ingredients; safe for gout.,10
5,1,Fatty Liver,High in plant fiber and unsaturated fats; supports liver health.,9
6,1,High Cholesterol,Contains egg (cholesterol) but otherwise heart-healthy fats; good balance.,8
7,1,High Blood Pressure,Moderate sodium from pita/hummus; overall beneficial due to potassium-rich veggies.,8
8,1,Gout,Moderate-purine due to lentils and egg; occasional consumption is safe for most.,7
9,1,Fatty Liver,Low fat and sugar; neutral impact.,7
10,1,High Cholesterol,Low cholesterol and saturated fat; positive snack choice.,8
11,1,High Blood Pressure,Contains salt; moderate portion is acceptable.,7
12,1,Gout,Low-purine snack; safe for gout.,10
13,1,Fatty Liver,High in omega-3s from salmon; generally supportive but moderate rice portion best.,8
14,1,High Cholesterol,Salmon provides heart-healthy fats; low in saturated fat.,8
15,1,High Blood Pressure,Sodium can be high if soy sauce used; otherwise moderate.,7
16,1,Gout,Salmon is high in purines; best consumed occasionally for gout.,4
17,2,Fatty Liver,"Low fat, high fiber, good protein, minimal added sugar; suitable for fatty liver.",9
18,2,High Cholesterol,Very low saturated fat and cholesterol; beneficial for cholesterol control.,9
19,2,High Blood Pressure,Low sodium and potassium-rich; supportive for blood pressure management.,9
20,2,Gout,Low purines and animal protein; safe for gout.,9
21,2,Fatty Liver,Low saturated fat and simple sugars; good snack for fatty liver.,9
22,2,High Cholesterol,"Peanut butter in moderation supports cholesterol management, especially if unsweetened.",9
23,2,High Blood Pressure,Very low sodium; positive for hypertension.,10
24,2,Gout,"Plant-based, low purines; safe for gout.",9
25,2,Fatty Liver,"Balanced, moderate fat, high protein; supports liver health.",8
26,2,High Cholesterol,"Lean chicken and seeds are good, but check sodium and limit saturated fat.",8
27,2,High Blood Pressure,Sodium a bit high due to pita and chicken; moderation recommended.,7
28,2,Gout,"Chicken and seeds are moderate in purines; monitor portion, generally acceptable.",7
29,2,Fatty Liver,"Low fat, minimal sugar, not harmful for fatty liver in moderation.",8
30,2,High Cholesterol,Very low saturated fat and cholesterol; good for cholesterol levels.,8
31,2,High Blood Pressure,Sodium is modest; suitable if total sodium intake remains low.,8
32,2,Gout,"Plant-based, low purines; safe for gout.",9
33,2,Fatty Liver,"High fat, fried snack, low fiber; not recommended for fatty liver.",4
34,2,High Cholesterol,"Fried, moderate saturated fat; not ideal for cholesterol control.",4
35,2,High Blood Pressure,Moderate sodium; can contribute to elevated blood pressure.,5
36,2,Gout,"Low purines, but high salt and fat; acceptable in strict moderation.",6
37,2,Fatty Liver,"Moderate fat, good protein, greens; acceptable for fatty liver.",7
38,2,High Cholesterol,Contains cheese and peanuts; moderate saturated fat.,7
39,2,High Blood Pressure,"Sodium mainly from cottage cheese; moderate, but not excessive.",7
40,2,Gout,Moderate purines from cheese and peanuts; use in moderation.,6
41,2,Fatty Liver,"Mostly plant-based, low fat, minimal cheese and dressing; good choice.",8
42,2,High Cholesterol,Minimal cheese and ranch keeps saturated fat low.,8
43,2,High Blood Pressure,"Sodium is moderate; mostly from cheese and dressing, which were limited.",8
44,2,Gout,"Low purines, limited animal products; safe for gout.",9
45,3,Fatty Liver,"Low saturated fat, high fiber, moderate protein, suitable for fatty liver.",8
46,3,High Cholesterol,"Contains egg, which is high in cholesterol but low in saturated fat; overall balanced.",7
47,3,High Blood Pressure,Sodium is moderate; mainly from cereal and egg.,8
48,3,Gout,Egg is moderate in purines; otherwise safe.,7
49,3,Fatty Liver,"Moderate fat and saturated fat, good vegetables, but beef increases risk; fair choice.",6
50,3,High Cholesterol,Beef and tahini add saturated fat; moderate impact on cholesterol.,6
51,3,High Blood Pressure,"Sodium moderate, vegetables help offset; reasonable choice.",7
52,3,Gout,Beef and chicken are higher in purines; risk for gout.,5
53,3,Fatty Liver,"Moderate fat, fiber and protein; suitable for fatty liver as a snack.",8
54,3,High Cholesterol,Low saturated fat and cholesterol; good choice.,8
55,3,High Blood Pressure,Sodium modest; not excessive for a snack.,8
56,3,Gout,"Plant-based, low purines; safe for gout.",9
57,3,Fatty Liver,"Low saturated fat, high fiber, plant-based; good meal for fatty liver.",9
58,3,High Cholesterol,Very low saturated fat and cholesterol; beneficial for cholesterol.,9
59,3,High Blood Pressure,"Very low sodium, high potassium from broccoli; ideal for blood pressure.",10
60,3,Gout,"Low purines, plant-based; safe for gout.",9
61,4,Fatty Liver,"High fat, especially saturated from cream cheese; bagel is refined carb; not ideal for fatty liver.",4
62,4,High Cholesterol,High saturated fat and cholesterol from cream cheese; adverse effect on cholesterol.,3
63,4,High Blood Pressure,High sodium from bagel and cream cheese; not recommended for hypertension.,4
64,4,Gout,"Low purines, dairy and plant-based; generally safe for gout.",8
65,4,Fatty Liver,"Moderate fat, some saturated and refined carbs, fair amount of protein; partially suitable.",6
66,4,High Cholesterol,Contains chicken and dairy; saturated fat moderate; better with less tzatziki.,6
67,4,High Blood Pressure,Sodium is high; could contribute to hypertension risk.,5
68,4,Gout,"Chicken and chickpeas moderate purines; monitor portion, generally acceptable.",6
69,4,Fatty Liver,"Healthy fats, fiber, and plant protein; excellent for fatty liver.",10
70,4,High Cholesterol,"Low saturated fat, high unsaturated fats; beneficial.",10
71,4,High Blood Pressure,No sodium; optimal for hypertension.,10
